date,time,site_name,cluster,agency_name,material,ticket_no,vehicle_no,transfer_party_name,first_weight,second_weight,net_weight,,,,,,,
2025-06-18,14:12:49,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0034,AP28TC8081Q,On-Site,28200,12660,15540,,,,,,,
2025-06-18,12:35:09,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0035,AP21TB4935,On-Site,31320,14530,16790,,,,,,,
2025-06-18,12:36:01,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0036,AP21TB4935,On-Site,28200,14530,13670,,,,,,,
2025-06-18,12:45:22,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0037,AP28TC8081,On-Site,26250,12650,13600,,,,,,,
2025-06-18,12:54:54,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0038,AP28TC8081,On-Site,28200,12640,15560,,,,,,,
2025-06-18,12:58:10,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0039,AP27TW7569,On-Site,30390,10650,19740,,,,,,,
2025-06-18,13:01:26,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0040,AP 26 TA 0434,On-Site,27710,9870,17840,,,,,,,
2025-06-18,14:07:29,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0041,AP21TB4935,On-Site,31320,13160,18160,,,,,,,
2025-06-18,14:37:38,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0042,AP28TC8081,On-Site,29410,12660,16750,,,,,,,
2025-06-18,14:39:44,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0043,AP 26 TA 0434,On-Site,27330,9860,17470,,,,,,,
2025-06-18,14:48:32,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0044,AP27TW7569,On-Site,32380,10650,21730,,,,,,,
2025-06-18,14:53:51,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0045,AP21TB4935,On-Site,29920,14210,15710,,,,,,,
2025-06-18,15:08:33,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0046,AP28TC8081,On-Site,28610,12650,15960,,,,,,,
2025-06-18,15:29:53,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0047,AP 26 TA 0434,On-Site,27240,9850,17390,,,,,,,
2025-06-18,15:42:24,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0048,AP27TW7569,On-Site,32800,10640,22160,,,,,,,
2025-06-18,15:49:27,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0049,AP21TB4935,On-Site,30840,13400,17440,,,,,,,
2025-06-18,15:56:39,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0050,AP21TB4935,On-Site,30820,14460,16360,,,,,,,
2025-06-18,16:13:39,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0051,AP28TC8081,On-Site,29320,12660,16660,,,,,,,
2025-06-18,16:16:23,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0052,AP 26 TA 0434,On-Site,27320,9860,17460,,,,,,,
2025-06-18,16:27:23,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0053,AP27TW7569,On-Site,33090,10640,22450,,,,,,,
2025-06-18,16:31:13,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0054,AP21TB4935,On-Site,30540,14470,16070,,,,,,,
2025-06-18,16:39:58,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0055,AP28TC8081,On-Site,30770,12630,18140,,,,,,,
2025-06-18,16:48:30,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0056,AP 26 TA 0434,On-Site,26730,9870,16860,,,,,,,
2025-06-18,16:57:36,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0057,AP27TW7569,On-Site,32630,10670,21960,,,,,,,
2025-06-18,17:01:38,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0058,AP21TB4935,On-Site,30810,18830,11980,,,,,,,
2025-06-18,17:10:12,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0059,AP28TC8081,On-Site,30500,12630,17870,,,,,,,
2025-06-18,17:14:11,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0060,AP 26 TA 0434,On-Site,27460,9860,17600,,,,,,,
2025-06-18,17:27:09,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0061,AP27TW7569,On-Site,30920,10660,20260,,,,,,,
2025-06-18,17:38:08,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0062,AP28TC8081,On-Site,29550,12620,16930,,,,,,,
2025-06-18,17:41:43,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0063,AP 26 TA 0434,On-Site,27210,9880,17330,,,,,,,
2025-06-18,17:54:33,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0064,AP21TB4935,On-Site,30540,11710,18830,,,,,,,
2025-06-18,18:04:42,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0065,AP27TW7569,On-Site,32070,10650,21420,,,,,,,
2025-06-18,18:13:40,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0066,AP 26 TA 0434,On-Site,30020,9860,20160,,,,,,,
2025-06-18,18:19:58,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0067,AP28TC8081,On-Site,30120,12630,17490,,,,,,,
2025-06-18,18:34:15,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0068,AP21TB4935,On-Site,31850,11660,20190,,,,,,,
2025-06-18,18:47:30,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0069,AP27TW7569,On-Site,33000,10720,22280,,,,,,,
2025-06-18,19:05:42,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0070,AP 26 TA 0434,On-Site,27910,9900,18010,,,,,,,
2025-06-19,10:31:06,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0071,AP28TC8081,On-site,28040,12630,15410,,,,,,,
2025-06-19,11:00:04,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0072,AP28TC8081,On-site,29050,12630,16420,,,,,,,
2025-06-19,11:42:35,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0073,AP28TC8081,On-site,29320,12610,16710,,,,,,,
2025-06-19,11:52:22,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0074,AP 26 TA 0434,On-site,28330,9840,18490,,,,,,,
2025-06-19,11:55:11,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0075,AP27TW7569,On-site,29280,10640,18640,,,,,,,
2025-06-19,12:01:05,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0076,AP21TB4935,On-site,31290,11580,19710,,,,,,,
2025-06-19,12:16:40,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0077,AP28TC8081,On-Site,29320,10640,18680,,,,,,,
2025-06-19,12:22:04,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0078,AP 26 TA 0434,On-Site,29110,19230,9880,,,,,,,
2025-06-19,12:20:48,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0079,AP27TW7569,On-Site,31890,10650,21240,,,,,,,
2025-06-19,12:47:16,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0080,AP28TC8081,On-Site,31040,12790,18250,,,,,,,
2025-06-19,13:06:12,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0081,AP21TB4935,On-Site,31960,11560,20400,,,,,,,
2025-06-19,13:12:59,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0082,AP 26 TA 0434,On-Site,28910,9860,19050,,,,,,,
2025-06-19,13:22:27,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0083,AP27TW7569,On-Site,31790,10640,21150,,,,,,,
2025-06-19,15:20:03,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0084,AP27TW7569,On-Site,30750,10650,20100,,,,,,,
2025-06-19,15:26:20,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0085,AP21TB4935,On-Site,30850,11500,19350,,,,,,,
2025-06-19,15:28:47,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0086,AP 26 TA 0434,On-Site,29230,9890,19340,,,,,,,
2025-06-19,15:31:54,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0087,AP28TC8081,On-Site,30700,12850,17850,,,,,,,
2025-06-19,15:44:28,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0088,AP27TW7569,On-Site,30130,10630,19500,,,,,,,
2025-06-19,15:51:50,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0089,AP21TB4935,On-Site,29240,11460,17780,,,,,,,
2025-06-19,15:59:24,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0090,AP 26 TA 0434,On-Site,28290,9890,18400,,,,,,,
2025-06-19,16:04:32,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0091,AP28TC8081,On-Site,31500,12800,18700,,,,,,,
2025-06-19,16:21:55,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0092,AP21TB4935,On-Site,30760,11480,19280,,,,,,,
2025-06-19,16:27:59,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0093,AP27TW7569,On-Site,29850,10620,19230,,,,,,,
2025-06-19,16:35:09,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0094,AP 26 TA 0434,On-Site,24410,9880,14530,,,,,,,
2025-06-19,16:38:50,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0095,AP28TC8081,On-Site,26530,11640,14890,,,,,,,
2025-06-19,16:49:44,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0096,AP21TB4935,On-Site,29890,11520,18370,,,,,,,
2025-06-19,16:54:13,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0097,AP27TW7569,On-Site,29790,10560,19230,,,,,,,
2025-06-19,16:58:33,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0098,AP 26 TA 0434,On-Site,25580,9890,15690,,,,,,,
2025-06-19,17:06:55,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0099,AP28TC8081,On-Site,26860,11870,14990,,,,,,,
2025-06-19,17:21:13,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0100,AP21TB4935,On-Site,28750,11490,17260,,,,,,,
2025-06-19,17:25:58,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0101,AP27TW7569,On-Site,28430,10630,17800,,,,,,,
2025-06-19,17:30:48,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0102,AP 26 TA 0434,On-Site,27020,9890,17130,,,,,,,
2025-06-19,17:34:32,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0103,AP28TC8081,On-Site,30530,11850,18680,,,,,,,
2025-06-19,17:47:58,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0104,AP27TW7569,On-Site,30910,10640,20270,,,,,,,
2025-06-19,18:04:42,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0105,AP 26 TA 0434,On-Site,24970,9900,15070,,,,,,,
2025-06-19,18:08:21,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0106,AP28TC8081,On-Site,27980,11840,16140,,,,,,,
2025-06-19,18:28:42,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0107,AP21TB4935,On-Site,30990,11530,19460,,,,,,,
2025-06-19,18:27:26,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0108,AP27TW7569,On-Site,32500,10620,21880,,,,,,,
2025-06-19,18:37:03,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0109,AP28TC8081,On-Site,31540,11890,19650,,,,,,,
2025-06-19,11:42:35,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0111,AP28TC8081,On-site,29320,12610,16710,,,,,,,
2025-06-19,11:52:22,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0112,AP 26 TA 0434,On-site,28330,9840,18490,,,,,,,
2025-06-19,11:55:11,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0113,AP27TW7569,On-site,29280,10640,18640,,,,,,,
2025-06-19,12:01:05,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0114,AP21TB4935,On-site,31290,11580,19710,,,,,,,
2025-06-20,10:03:31,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0115,AP21TB4935,On-site,31280,11430,19850,,,,,,,
2025-06-20,10:12:09,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0116,AP 26 TA 0434,On-site,29210,9920,19290,,,,,,,
2025-06-20,10:14:35,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0117,AP28TC8081,On-site,29860,11860,18000,,,,,,,
2025-06-20,10:34:57,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0118,AP27TW7569,On-site,30070,10660,19410,,,,,,,
2025-06-20,10:37:51,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0119,AP21TB4935,On-site,28030,11540,16490,,,,,,,
2025-06-20,10:41:14,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0120,AP 26 TA 0434,On-site,27690,9920,17770,,,,,,,
2025-06-20,10:47:28,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0121,AP28TC8081,On-site,30400,12040,18360,,,,,,,
2025-06-20,11:03:48,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0122,AP27TW7569,On-site,29970,10640,19330,,,,,,,
2025-06-20,11:07:34,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0123,AP21TB4935,On-site,28380,11530,16850,,,,,,,
2025-06-20,11:10:54,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0124,AP 26 TA 0434,On-site,27860,9930,17930,,,,,,,
2025-06-20,11:29:30,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0125,AP28TC8081,On-site,28810,12340,16470,,,,,,,
2025-06-20,11:41:59,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0126,AP27TW7569,On-site,28880,10620,18260,,,,,,,
2025-06-20,11:47:24,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0127,AP21TB4935,On-site,30600,11520,19080,,,,,,,
2025-06-20,11:48:45,Bethamcherla,Nandyal,Saurashtra Enviro Projects Pvt. Ltd.,Legacy/MSW,T0128,AP 26 TA 0434,On-site,27720,9920,17800,,,,,,,
